Minor_Salivary_Gland;Salivary_Gland
Esophagus_Mucosa;
Skin_Sun_Exposed_Lower_leg;Skin
Artery_Tibial;
Stomach;Stomach
Brain_Hypothalamus;Brain
Whole_Blood;
Pituitary;Pituitary
Lung;Lung
Brain_Cerebellum;Brain
Cells_EBV-transformed_lymphocytes;
Ovary;Ovary
Colon_Transverse;Colon
Vagina;
Spleen;Spleen
Brain_Anterior_cingulate_cortex_BA24;Brain
Brain_Cortex;Brain
Kidney_Cortex;Kidney
Thyroid;
Liver;Liver
Heart_Left_Ventricle;Heart
Adipose_Visceral_Omentum;Adipose
Artery_Aorta;
Brain_Caudate_basal_ganglia;Brain
Adipose_Subcutaneous;Adipose
Small_Intestine_Terminal_Ileum;Small_Intestine
Testis;Testis
Prostate;Prostate
Artery_Coronary;
Breast_Mammary_Tissue;Breast_Mammary
Brain_Frontal_Cortex_BA9;Brain
Esophagus_Muscularis;
Brain_Nucleus_accumbens_basal_ganglia;Brain
Brain_Substantia_nigra;Brain
Brain_Spinal_cord_cervical_c-1;Brain
Skin_Not_Sun_Exposed_Suprapubic;Skin
Brain_Amygdala;Brain
Nerve_Tibial;
Colon_Sigmoid;Colon
Heart_Atrial_Appendage;Heart
Brain_Hippocampus;Brain
Bladder;Bladder
Pancreas;Pancreas
Adrenal_Gland;Adrenal_Gland
Esophagus_Gastroesophageal_Junction;
Muscle_Skeletal;Muscle_Skeletal
Cells_Transformed_fibroblasts;
Brain_Cerebellar_Hemisphere;Brain
Uterus;Uterus
Brain_Putamen_basal_ganglia;Brain
